Наименование муниципального образования;2019;2020;2021;2022;2023;2024
  г. Орел;17997;17659;16864;16061;15750;14221
  г. Ливны;2908;2846;2733;2655;2369;2179
  г. Мценск;2037;2120;2083;2026;1613;1486
  Орловский муниципальный район;5121;4997;4770;4517;4412;3974
  Болховский муниципальный район;1489;1326;1184;1084;877;803
  Верховский муниципальный район;1237;1151;1070;970;830;734
  Глазуновский муниципальный район;815;784;713;655;538;503
  Дмитровский муниципальный район;821;721;694;641;539;505
  Должанский муниципальный район;681;631;629;592;453;423
  Залегощенский муниципальный район;1111;1019;983;963;771;779
  Знаменский муниципальный район;368;356;320;299;217;226
  Колпнянский муниципальный район;711;691;672;601;502;463
  Краснозоренский муниципальный район;325;288;272;254;269;258
  Кромской муниципальный район;1506;1439;1331;1289;1221;1175
  Корсаковский муниципальный район;270;268;254;228;248;206
  Ливенский муниципальный район;1622;1514;1384;1220;1212;1148
  Малоархангельский муниципальный район;834;754;673;603;521;474
  Мценский муниципальный район;1487;1242;1029;874;843;797
  Новодеревеньковский муниципальный район;576;559;532;492;463;431
  Новосильский муниципальный район;533;516;474;440;426;402
  Покровский муниципальный район;810;789;750;725;598;578
  Свердловский муниципальный район;1140;1050;991;916;802;749
  Сосковский муниципальный район;334;310;297;267;210;195
  Троснянский муниципальный район;598;549;510;479;461;419
  Урицкий муниципальный район;1560;1463;1372;1239;1061;981
  Хотынецкий муниципальный район;742;717;688;670;465;438
  Шаблыкинский муниципальный район;388;352;327;295;276;255
;;;;;;
