Наименование муниципального образования;2019;2020;2021;2022;2023;2024
  г. Орел;291136;288610;284231;279749;279332;276612
  г. Ливны;43544;43467;43290;43095;40297;40100
  г. Мценск;34291;33790;33331;32770;33969;33485
  Болховский муниципальный район;15600;15496;15314;15032;66195;65868
  Орловский муниципальный район;63845;63784;63438;63249;14275;14112
  Верховский муниципальный район;13778;13675;13567;13403;13730;13575
  Глазуновский муниципальный район;10670;10613;10696;10660;9590;9551
  Дмитровский муниципальный район;9222;9091;9025;8814;9767;9707
  Должанский муниципальный район;9254;9123;9053;8988;8115;8050
  Залегощенский муниципальный район;12508;12470;12451;12343;10865;10935
  Знаменский муниципальный район;4051;4039;4029;4010;3948;3988
  Колпнянский муниципальный район;11569;11436;11329;11179;11628;11527
  Краснозоренский муниципальный район;4797;4748;4709;4630;4755;4736
  Кромской муниципальный район;18611;18723;18761;18779;19185;19352
  Корсаковский муниципальный район;3676;3639;3608;3533;3561;3488
  Ливенский муниципальный район;27353;27124;26885;26644;24199;24119
  Малоархангельский муниципальный район;8963;8817;8686;8484;8696;8688
  Мценский муниципальный район;16219;15968;15767;15483;15676;15492
  Новодеревеньковский муниципальный район;8436;8360;8299;8190;8430;8446
  Новосильский муниципальный район;6677;6667;6634;6537;6211;6120
  Покровский муниципальный район;11981;11896;11819;11765;11196;11172
  Свердловский муниципальный район;13768;13708;13555;13300;12525;12539
  Сосковский муниципальный район;4781;4694;4628;4496;4764;4722
  Троснянский муниципальный район;7858;7733;7625;7475;7152;7128
  Урицкий муниципальный район;18261;18283;18209;18354;16217;16289
  Хотынецкий муниципальный район;8582;8614;8672;8592;7377;7337
  Шаблыкинский муниципальный район;6332;6230;6133;5988;5502;5475
