Наименование муниципального образования;2019;2020;2021;2022;2023;2024
  г. Орел;310232;306267;300934;299212;294520;290955
  г. Ливны;47172;47092;46899;43148;42811;42475
  г. Мценск;36881;36403;35856;36398;35812;35335
  Орловский муниципальный район;68844;68530;68099;70244;69856;69691
  Болховский муниципальный район;16708;16464;16143;15312;15100;14895
  Верховский муниципальный район;15029;14841;14606;14891;14611;14409
  Глазуновский муниципальный район;11498;11460;11434;10281;10206;10130
  Дмитровский муниципальный район;9926;9803;9648;10506;10431;10306
  Должанский муниципальный район;9947;9817;9713;8742;8635;8484
  Залегощенский муниципальный район;13573;13550;13448;11757;11724;11676
  Знаменский муниципальный район;4418;4395;4374;4260;4261;4251
  Колпнянский муниципальный район;12421;12266;12086;12531;12372;12194
  Краснозоренский муниципальный район;5212;5152;5089;5175;5115;5052
  Кромской муниципальный район;20141;20156;20118;20579;20519;20538
  Корсаковский муниципальный район;3970;3925;3857;3831;3760;3676
  Ливенский муниципальный район;29430;29178;28887;26143;25894;25617
  Малоархангельский муниципальный район;9710;9542;9330;9463;9338;9290
  Мценский муниципальный район;17374;17096;16794;17015;16638;16323
  Новодеревеньковский муниципальный район;9183;9105;9004;9162;9052;8968
  Новосильский муниципальный район;7311;7275;7176;6715;6617;6494
  Покровский муниципальный район;12973;12858;12743;12004;11912;11781
  Свердловский муниципальный район;14884;14697;14429;13473;13360;13328
  Сосковский муниципальный район;5224;5136;4996;5194;5089;5015
  Троснянский муниципальный район;8640;8497;8341;7822;7709;7660
  Урицкий муниципальный район;19622;19536;19519;17351;17298;17223
  Хотынецкий муниципальный район;9336;9343;9303;7944;7865;7790
  Шаблыкинский муниципальный район;6824;6708;6564;5997;5876;5778
;;;;;;
