Name;2019;2020;2021;2022;2023;2024
  г. Орел;30,70;31,90;32,60;33,00;34,00;34,60
  г. Ливны;24,00;24,20;24,60;26,90;27,10;27,50
  г. Мценск;33,20;33,70;34,40;34,10;34,70;35,30
  Орловский муниципальный район;25,20;26,60;27,40;27,20;28,70;29,60
  Болховский муниципальный район;30,20;30,70;31,50;33,00;33,60;33,90
  Верховский муниципальный район;32,30;33,60;34,30;33,80;34,50;34,90
  Глазуновский муниципальный район;28,60;29,90;30,10;33,50;33,70;34,00
  Дмитровский муниципальный район;38,90;39,40;40,40;36,90;37,20;38,20
  Должанский муниципальный район;29,80;30,10;30,50;33,90;34,10;34,90
  Залегощенский муниципальный район;29,30;29,50;29,80;34,00;34,00;34,20
  Знаменский муниципальный район;25,70;26,00;26,10;26,90;26,80;27,10
  Колпнянский муниципальный район;29,20;29,70;30,30;29,10;29,50;30,00
  Краснозоренский муниципальный район;37,50;39,00;39,70;39,00;39,50;40,00
  Кромской муниципальный район;27,40;27,60;27,70;27,20;27,10;27,10
  Корсаковский муниципальный район;32,80;33,20;34,10;34,00;35,00;35,60
  Ливенский муниципальный район;27,00;27,90;28,60;31,60;31,80;32,30
  Малоархангельский муниципальный район;31,00;31,20;31,70;31,20;31,40;31,60
  Мценский муниципальный район;28,00;28,80;29,70;30,40;31,30;32,30
  Новодеревеньковский муниципальный район;33,60;34,20;34,70;34,20;34,40;35,00
  Новосильский муниципальный район;36,80;35,80;36,60;38,80;39,80;40,30
  Покровский муниципальный район;29,50;29,50;29,80;31,70;32,00;32,60
  Свердловский муниципальный район;28,90;29,50;30,20;31,90;32,00;32,10
  Сосковский муниципальный район;31,50;32,00;33,30;31,90;32,20;32,90
  Троснянский муниципальный район;38,10;38,70;39,60;42,30;42,60;42,70
  Урицкий муниципальный район;20,10;20,60;20,50;23,30;23,40;23,60
  Хотынецкий муниципальный район;31,30;31,10;31,50;36,90;37,30;37,60
  Шаблыкинский муниципальный район;28,00;28,60;29,30;32,00;32,50;33,00
